"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHSAV","TOT","PC_HHDI","A","1970",14.730999146029,
"AUS","HHSAV","TOT","PC_HHDI","A","1971",14.8860174388066,
"AUS","HHSAV","TOT","PC_HHDI","A","1972",16.9827506970189,
"AUS","HHSAV","TOT","PC_HHDI","A","1973",18.7528321836766,
"AUS","HHSAV","TOT","PC_HHDI","A","1974",17.9730816002638,
"AUS","HHSAV","TOT","PC_HHDI","A","1975",16.53404702459,
"AUS","HHSAV","TOT","PC_HHDI","A","1976",15.2461488240506,
"AUS","HHSAV","TOT","PC_HHDI","A","1977",14.3881951687008,
"AUS","HHSAV","TOT","PC_HHDI","A","1978",15.7869031070369,
"AUS","HHSAV","TOT","PC_HHDI","A","1979",15.0834142266971,
"AUS","HHSAV","TOT","PC_HHDI","A","1980",14.9995016445729,
"AUS","HHSAV","TOT","PC_HHDI","A","1981",14.2583715406767,
"AUS","HHSAV","TOT","PC_HHDI","A","1982",11.8301952250292,
"AUS","HHSAV","TOT","PC_HHDI","A","1983",13.7729317857117,
"AUS","HHSAV","TOT","PC_HHDI","A","1984",14.2977819134544,
"AUS","HHSAV","TOT","PC_HHDI","A","1985",11.5384151562293,
"AUS","HHSAV","TOT","PC_HHDI","A","1986",8.8896868635295,
"AUS","HHSAV","TOT","PC_HHDI","A","1987",7.81744563653554,
"AUS","HHSAV","TOT","PC_HHDI","A","1988",8.77869897959184,
"AUS","HHSAV","TOT","PC_HHDI","A","1989",8.83896970068946,
"AUS","HHSAV","TOT","PC_HHDI","A","1990",7.99543561539626,
"AUS","HHSAV","TOT","PC_HHDI","A","1991",6.18275416335345,
"AUS","HHSAV","TOT","PC_HHDI","A","1992",6.2099978931921,
"AUS","HHSAV","TOT","PC_HHDI","A","1993",5.97386869949004,
"AUS","HHSAV","TOT","PC_HHDI","A","1994",5.00998546964882,
"AUS","HHSAV","TOT","PC_HHDI","A","1995",5.26253492522808,
"AUS","HHSAV","TOT","PC_HHDI","A","1996",6.52232786788732,
"AUS","HHSAV","TOT","PC_HHDI","A","1997",3.82278502586302,
"AUS","HHSAV","TOT","PC_HHDI","A","1998",1.39300031677717,
"AUS","HHSAV","TOT","PC_HHDI","A","1999",0.762058384839484,
"AUS","HHSAV","TOT","PC_HHDI","A","2000",2.03915325866545,
"AUS","HHSAV","TOT","PC_HHDI","A","2001",3.32661201170925,
"AUS","HHSAV","TOT","PC_HHDI","A","2002",-0.998309922308163,
"AUS","HHSAV","TOT","PC_HHDI","A","2003",-0.069475172136251,
"AUS","HHSAV","TOT","PC_HHDI","A","2004",1.12037834629775,
"AUS","HHSAV","TOT","PC_HHDI","A","2005",0.320394700879719,
"AUS","HHSAV","TOT","PC_HHDI","A","2006",0.831589125150222,
"AUS","HHSAV","TOT","PC_HHDI","A","2007",2.52434961708647,
"AUS","HHSAV","TOT","PC_HHDI","A","2008",8.87187763509849,
"AUS","HHSAV","TOT","PC_HHDI","A","2009",6.82369166371379,
"AUS","HHSAV","TOT","PC_HHDI","A","2010",8.35196564481592,
"AUS","HHSAV","TOT","PC_HHDI","A","2011",8.83715380463631,
"AUS","HHSAV","TOT","PC_HHDI","A","2012",7.48221603921955,
"AUS","HHSAV","TOT","PC_HHDI","A","2013",7.86105374134392,
"AUS","HHSAV","TOT","PC_HHDI","A","2014",7.94706448222125,
"AUS","HHSAV","TOT","PC_HHDI","A","2015",5.96668684879826,
"AUS","HHSAV","TOT","PC_HHDI","A","2016",4.85161753846768,
"AUS","HHSAV","TOT","PC_HHDI","A","2017",3.50862441743141,
"AUT","HHSAV","TOT","PC_HHDI","A","1995",14.650994839099,
"AUT","HHSAV","TOT","PC_HHDI","A","1996",11.9397096028179,
