"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","QGRWTH","Q","1960-Q2",1.995809,
"AUS","GFCF","TOT","QGRWTH","Q","1960-Q3",0.313081,
"AUS","GFCF","TOT","QGRWTH","Q","1960-Q4",4.486492,
"AUS","GFCF","TOT","QGRWTH","Q","1961-Q1",1.260151,
"AUS","GFCF","TOT","QGRWTH","Q","1961-Q2",1.29056,
"AUS","GFCF","TOT","QGRWTH","Q","1961-Q3",2.06589,
"AUS","GFCF","TOT","QGRWTH","Q","1961-Q4",-4.699064,
"AUS","GFCF","TOT","QGRWTH","Q","1962-Q1",2.011602,
"AUS","GFCF","TOT","QGRWTH","Q","1962-Q2",-1.339081,
"AUS","GFCF","TOT","QGRWTH","Q","1962-Q3",4.834062,
"AUS","GFCF","TOT","QGRWTH","Q","1962-Q4",0.097544,
"AUS","GFCF","TOT","QGRWTH","Q","1963-Q1",4.863572,
"AUS","GFCF","TOT","QGRWTH","Q","1963-Q2",0.39706,
"AUS","GFCF","TOT","QGRWTH","Q","1963-Q3",2.549647,
"AUS","GFCF","TOT","QGRWTH","Q","1963-Q4",2.986789,
"AUS","GFCF","TOT","QGRWTH","Q","1964-Q1",0.501952,
"AUS","GFCF","TOT","QGRWTH","Q","1964-Q2",5.200571,
"AUS","GFCF","TOT","QGRWTH","Q","1964-Q3",-0.640543,
"AUS","GFCF","TOT","QGRWTH","Q","1964-Q4",1.554797,
"AUS","GFCF","TOT","QGRWTH","Q","1965-Q1",1.755041,
"AUS","GFCF","TOT","QGRWTH","Q","1965-Q2",4.293578,
"AUS","GFCF","TOT","QGRWTH","Q","1965-Q3",1.674877,
"AUS","GFCF","TOT","QGRWTH","Q","1965-Q4",1.384275,
"AUS","GFCF","TOT","QGRWTH","Q","1966-Q1",2.457673,
"AUS","GFCF","TOT","QGRWTH","Q","1966-Q2",-1.845682,
"AUS","GFCF","TOT","QGRWTH","Q","1966-Q3",3.849026,
"AUS","GFCF","TOT","QGRWTH","Q","1966-Q4",-0.111126,
"AUS","GFCF","TOT","QGRWTH","Q","1967-Q1",1.636019,
"AUS","GFCF","TOT","QGRWTH","Q","1967-Q2",1.242676,
"AUS","GFCF","TOT","QGRWTH","Q","1967-Q3",3.00814,
"AUS","GFCF","TOT","QGRWTH","Q","1967-Q4",0.475397,
"AUS","GFCF","TOT","QGRWTH","Q","1968-Q1",3.410348,
"AUS","GFCF","TOT","QGRWTH","Q","1968-Q2",1.580605,
"AUS","GFCF","TOT","QGRWTH","Q","1968-Q3",0.854051,
"AUS","GFCF","TOT","QGRWTH","Q","1968-Q4",2.488255,
"AUS","GFCF","TOT","QGRWTH","Q","1969-Q1",-0.356537,
"AUS","GFCF","TOT","QGRWTH","Q","1969-Q2",2.907934,
"AUS","GFCF","TOT","QGRWTH","Q","1969-Q3",-0.513273,
"AUS","GFCF","TOT","QGRWTH","Q","1969-Q4",1.708643,
"AUS","GFCF","TOT","QGRWTH","Q","1970-Q1",-1.314498,
"AUS","GFCF","TOT","QGRWTH","Q","1970-Q2",2.260543,
"AUS","GFCF","TOT","QGRWTH","Q","1970-Q3",-0.962058,
"AUS","GFCF","TOT","QGRWTH","Q","1970-Q4",1.828203,
"AUS","GFCF","TOT","QGRWTH","Q","1971-Q1",3.172732,
"AUS","GFCF","TOT","QGRWTH","Q","1971-Q2",-0.935016,
"AUS","GFCF","TOT","QGRWTH","Q","1971-Q3",4.116197,
"AUS","GFCF","TOT","QGRWTH","Q","1971-Q4",-3.172844,
"AUS","GFCF","TOT","QGRWTH","Q","1972-Q1",-0.696973,
"AUS","GFCF","TOT","QGRWTH","Q","1972-Q2",0.796145,
"AUS","GFCF","TOT","QGRWTH","Q","1972-Q3",1.823945,
"AUS","GFCF","TOT","QGRWTH","Q","1972-Q4",0.729778,
"AUS","GFCF","TOT","QGRWTH","Q","1973-Q1",2.259601,
"AUS","GFCF","TOT","QGRWTH","Q","1973-Q2",0.421126,
"AUS","GFCF","TOT","QGRWTH","Q","1973-Q3",1.633036,
"AUS","GFCF","TOT","QGRWTH","Q","1973-Q4",3.203883,
"AUS","GFCF","TOT","QGRWTH","Q","1974-Q1",0.211665,
"AUS","GFCF","TOT","QGRWTH","Q","1974-Q2",-6.003286,
"AUS","GFCF","TOT","QGRWTH","Q","1974-Q3",-2.736443,
"AUS","GFCF","TOT","QGRWTH","Q","1974-Q4",-0.995995,
"AUS","GFCF","TOT","QGRWTH","Q","1975-Q1",0.767476,
"AUS","GFCF","TOT","QGRWTH","Q","1975-Q2",1.199053,
"AUS","GFCF","TOT","QGRWTH","Q","1975-Q3",1.215357,
"AUS","GFCF","TOT","QGRWTH","Q","1975-Q4",-0.763666,
"AUS","GFCF","TOT","QGRWTH","Q","1976-Q1",2.126367,
"AUS","GFCF","TOT","QGRWTH","Q","1976-Q2",2.642276,
"AUS","GFCF","TOT","QGRWTH","Q","1976-Q3",-1.777348,
"AUS","GFCF","TOT","QGRWTH","Q","1976-Q4",5.040075,
"AUS","GFCF","TOT","QGRWTH","Q","1977-Q1",-1.034547,
"AUS","GFCF","TOT","QGRWTH","Q","1977-Q2",-1.494726,
"AUS","GFCF","TOT","QGRWTH","Q","1977-Q3",3.154862,
"AUS","GFCF","TOT","QGRWTH","Q","1977-Q4",-1.494274,
"AUS","GFCF","TOT","QGRWTH","Q","1978-Q1",2.551864,
"AUS","GFCF","TOT","QGRWTH","Q","1978-Q2",3.8201,
"AUS","GFCF","TOT","QGRWTH","Q","1978-Q3",2.037284,
"AUS","GFCF","TOT","QGRWTH","Q","1978-Q4",3.571273,
"AUS","GFCF","TOT","QGRWTH","Q","1979-Q1",1.642167,
"AUS","GFCF","TOT","QGRWTH","Q","1979-Q2",0.685922,
"AUS","GFCF","TOT","QGRWTH","Q","1979-Q3",-2.314606,
"AUS","GFCF","TOT","QGRWTH","Q","1979-Q4",2.646725,
"AUS","GFCF","TOT","QGRWTH","Q","1980-Q1",0.867679,
"AUS","GFCF","TOT","QGRWTH","Q","1980-Q2",2.353419,
"AUS","GFCF","TOT","QGRWTH","Q","1980-Q3",7.167493,
