Parameter,Prior,,
,Dist,Mean,Variance
$\epsilon_{Hd}$,Uniform,10,5.77
$\epsilon_{Hk}$,Uniform,10,5.77
$\epsilon_{A}$,Uniform,10,5.77
$\epsilon_{J}$,Uniform,10,5.77
$\epsilon_{Se}$,Uniform,10,5.77
$\epsilon_{Sm}$,Uniform,10,5.77
$\epsilon_{SB}$,Uniform,10,5.77
$\epsilon_{We}$,Uniform,10,5.77
$\epsilon_{markup_m}$,Uniform,10,5.77
$\epsilon_{markup_e}$,Uniform,10,5.77
$\epsilon_{EC}$,Uniform,10,5.77
$\epsilon_{ECAB}$,Uniform,10,5.77
$\sigma_e$,Inv. Gamma,2,0.1
$\sigma_m$,Inv. Gamma,2,0.1
$\sigma_B$,Inv. Gamma,2,0.1
$\psi_i$,Normal,10,2
$\psi_h$,Normal,10,2
$\zeta_m$,Beta,0.5,0.2
$\zeta_e$,Beta,0.5,0.2
$\rho_{Hd}$,Beta,0.5,0.2
$\rho_{Hk}$,Beta,0.5,0.2
$\rho_{A}$,Beta,0.5,0.2
$\rho_{J}$,Beta,0.5,0.2
$\rho_{Se}$,Beta,0.5,0.2
$\rho_{Sm}$,Beta,0.5,0.2
$\rho_{SB}$,Beta,0.5,0.2
$\rho_{We}$,Beta,0.5,0.2
$\rho_{markup_m}$,Beta,0.5,0.2
$\rho_{markup_e}$,Beta,0.5,0.2
$\rho_{EC}$,Beta,0.5,0.2
$\rho_{ECAB}$,Beta,0.5,0.2
